You have 255 points.

      -------Part 1--------   -------Part 2--------
Day       Time  Rank  Score       Time  Rank  Score
 25   06:51:43   711      0   06:52:17   596      0
 24   06:54:53   469      0   07:19:07   466      0
 23   04:12:27   423      0   04:14:58   420      0
 22   01:31:48    57     44   01:34:37    50     51
 21   06:02:45   492      0   06:11:56   466      0
 20   04:37:03   342      0   09:00:16   537      0
 19   04:30:17   350      0   10:14:04   299      0
 18   04:50:02   545      0   04:51:42   506      0
 17   04:56:38   677      0   05:09:17   663      0
 16   05:53:29   877      0   07:02:45   887      0
 15   05:17:07   585      0   05:18:47   562      0
 14   03:02:49   559      0   03:15:49   448      0
 13   06:05:12   614      0   06:09:35   588      0
 12   04:25:11   665      0   04:40:47   479      0
 11   00:10:14    17     84   00:12:43    25     76
 10   07:33:19  1431      0   07:33:43  1317      0
  9   01:37:53   282      0   01:38:53   275      0
  8   11:34:36  1719      0   11:50:35  1592      0
  7       >24h  2560      0       >24h  2474      0
  6   06:26:08   962      0   06:30:59   903      0
  5   03:46:31   642      0   04:08:21   515      0
  4   04:08:22   972      0   04:08:46   900      0
  3   03:05:12   617      0   03:15:01   554      0
  2   03:27:32   605      0   03:44:21   519      0
  1   05:09:59   410      0   05:14:01   294      0
