You have 8 points.

      -------Part 1--------   -------Part 2--------
Day       Time  Rank  Score       Time  Rank  Score
 25   01:00:03   325      0   01:00:08   246      0
 24   07:12:47  2339      0   19:39:17  2248      0
 23   01:49:18   888      0   02:18:32   834      0
 22   06:55:56  2157      0   10:14:12   793      0
 21   00:15:31    93      8   00:42:08   171      0
 20   03:58:10  1180      0   05:29:28   887      0
 19   02:21:30  1749      0   04:06:57  1441      0
 18   09:25:21   939      0   16:35:25  1072      0
 17   00:24:10   838      0   01:12:19   335      0
 16   00:19:39   384      0   09:47:59  1871      0
 15   01:08:06   477      0   01:12:08   324      0
 14   04:20:24  1657      0   05:03:46  1456      0
 13   00:05:02   286      0   00:54:32   772      0
 12   00:25:23   716      0   01:00:26   423      0
 11   00:21:37   461      0   00:25:05   303      0
 10   06:20:09  4830      0   07:03:35  2865      0
  9   00:22:11   285      0   00:22:33   263      0
  8   00:06:24   238      0   00:13:27   183      0
  7   00:18:09   487      0   01:42:19  1100      0
  6   00:11:05   423      0   00:26:57   671      0
  5   00:21:04   274      0   00:30:51   259      0
  4   00:05:34   502      0   00:26:44  1681      0
  3   00:22:15   606      0   00:29:44   533      0
  2   00:07:59   209      0   00:13:52   238      0
  1   00:04:01   725      0   00:06:46   327      0
